	Sample	read_id	Sample_id	Site	Region	Flow	Ind	Duplicate	seqid
1035	R07B-2-Ta	R07B-2-Ta_LpxA_CC_5	A17	R07B	MEF	B	R07B-2	n	FLD0052
1036	R07B-2-Ta	R07B-2-Ta_LpxA_CC_6	A17	R07B	MEF	B	R07B-2	n	FLD0052
1037	R07B-2-Ta	R07B-2-Ta_LpxA_CC_7	A17	R07B	MEF	B	R07B-2	n	FLD0052
1038	R07B-2-Ta	R07B-2-Ta_LpxA_CC_8	A17	R07B	MEF	B	R07B-2	n	FLD0052
1039	R07B-2-Ta	R07B-2-Ta_LpxA_CC_9	A17	R07B	MEF	B	R07B-2	n	FLD0052
1040	R07B-2-Ta	R07B-2-Ta_LpxA_CC_10	A17	R07B	MEF	B	R07B-2	n	FLD0052
1041	R07B-2-Ta	R07B-2-Ta_LpxA_CC_11	A17	R07B	MEF	B	R07B-2	n	FLD0052
1042	R07B-2-Ta	R07B-2-Ta_LpxA_CC_12	A17	R07B	MEF	B	R07B-2	n	FLD0052
1043	R07B-2-Ta	R07B-2-Ta_LpxA_CC_13	A17	R07B	MEF	B	R07B-2	n	FLD0052
1044	R07B-2-Ta	R07B-2-Ta_LpxA_CC_14	A17	R07B	MEF	B	R07B-2	n	FLD0052
1045	R07B-2-Ta	R07B-2-Ta_LpxA_CC_15	A17	R07B	MEF	B	R07B-2	n	FLD0052
1046	R07B-2-Ta	R07B-2-Ta_LpxA_CC_16	A17	R07B	MEF	B	R07B-2	n	FLD0052
1047	R07B-2-Ta	R07B-2-Ta_LpxA_CC_17	A17	R07B	MEF	B	R07B-2	n	FLD0052
1048	R07B-2-Ta	R07B-2-Ta_LpxA_CC_18	A17	R07B	MEF	B	R07B-2	n	FLD0052
1049	R07B-2-Ta	R07B-2-Ta_LpxA_CC_19	A17	R07B	MEF	B	R07B-2	n	FLD0052
1050	R07B-2-Ta	R07B-2-Ta_LpxA_CC_20	A17	R07B	MEF	B	R07B-2	n	FLD0052
1051	R07B-2-Ta	R07B-2-Ta_LpxA_CC_21	A17	R07B	MEF	B	R07B-2	n	FLD0052
1052	R07B-2-Ta	R07B-2-Ta_LpxA_CC_22	A17	R07B	MEF	B	R07B-2	n	FLD0052
1053	R07B-2-Ta	R07B-2-Ta_LpxA_CC_23	A17	R07B	MEF	B	R07B-2	n	FLD0052
1054	R07B-2-Ta	R07B-2-Ta_LpxA_CC_24	A17	R07B	MEF	B	R07B-2	n	FLD0052
1055	R07B-2-Ta	R07B-2-Ta_LpxA_CC_25	A17	R07B	MEF	B	R07B-2	n	FLD0052
1056	R07B-2-Ta	R07B-2-Ta_LpxA_CC_26	A17	R07B	MEF	B	R07B-2	n	FLD0052
1057	R07B-2-Ta	R07B-2-Ta_LpxA_CC_27	A17	R07B	MEF	B	R07B-2	n	FLD0052
1058	R07B-2-Ta	R07B-2-Ta_LpxA_CC_28	A17	R07B	MEF	B	R07B-2	n	FLD0052
1059	R07B-2-Ta	R07B-2-Ta_LpxA_CC_29	A17	R07B	MEF	B	R07B-2	n	FLD0052
1060	R07B-2-Ta	R07B-2-Ta_LpxA_CC_30	A17	R07B	MEF	B	R07B-2	n	FLD0052
1061	R07B-2-Ta	R07B-2-Ta_LpxA_CC_31	A17	R07B	MEF	B	R07B-2	n	FLD0052
1062	R07B-2-Ta	R07B-2-Ta_LpxA_CC_32	A17	R07B	MEF	B	R07B-2	n	FLD0052
1063	R07B-2-Ta	R07B-2-Ta_LpxA_CC_33	A17	R07B	MEF	B	R07B-2	n	FLD0052
1064	R07B-2-Ta	R07B-2-Ta_LpxA_CC_34	A17	R07B	MEF	B	R07B-2	n	FLD0052
1065	R07B-2-Ta	R07B-2-Ta_LpxA_CC_35	A17	R07B	MEF	B	R07B-2	n	FLD0052
1066	R07B-2-Ta	R07B-2-Ta_LpxA_CC_36	A17	R07B	MEF	B	R07B-2	n	FLD0052
1067	R07B-2-Ta	R07B-2-Ta_LpxA_CC_37	A17	R07B	MEF	B	R07B-2	n	FLD0052
1068	R07B-2-Ta	R07B-2-Ta_LpxA_CC_38	A17	R07B	MEF	B	R07B-2	n	FLD0052
1069	R07B-2-Ta	R07B-2-Ta_LpxA_CC_39	A17	R07B	MEF	B	R07B-2	n	FLD0052
1070	R07B-2-Ta	R07B-2-Ta_LpxA_CC_40	A17	R07B	MEF	B	R07B-2	n	FLD0052
1071	R07B-2-Ta	R07B-2-Ta_LpxA_CC_41	A17	R07B	MEF	B	R07B-2	n	FLD0052
1072	R07B-2-Ta	R07B-2-Ta_LpxA_CC_42	A17	R07B	MEF	B	R07B-2	n	FLD0052
1073	R07B-2-Ta	R07B-2-Ta_LpxA_CC_43	A17	R07B	MEF	B	R07B-2	n	FLD0052
1074	R07B-2-Ta	R07B-2-Ta_LpxA_CC_44	A17	R07B	MEF	B	R07B-2	n	FLD0052
1075	R07B-2-Ta	R07B-2-Ta_LpxA_CC_45	A17	R07B	MEF	B	R07B-2	n	FLD0052
1076	R07B-2-Ta	R07B-2-Ta_LpxA_CC_46	A17	R07B	MEF	B	R07B-2	n	FLD0052
1077	R07B-2-Ta	R07B-2-Ta_LpxA_CC_47	A17	R07B	MEF	B	R07B-2	n	FLD0052
1078	R07B-2-Ta	R07B-2-Ta_LpxA_CC_48	A17	R07B	MEF	B	R07B-2	n	FLD0052
